-0.0328781 0.0172425 0.0111397 -0.00935694 -0.0347943 -0.0187625 0.034791 -0.00681011 0.0112568 -0.0494093 -0.00106682 0.00909723 -0.0345295 0.0373139 -0.0301362 0.00902875 0.00182108 -0.0286102 -0.0111734 0.00922277 -0.0408669 0.029445 0.0102044 0.0116857 0.0347943 -0.0561989 -0.0128262 -0.00288688 0.0109036 0.0355886 -0.00534203 0.0111884 0.00759987 -0.0347804 0.0325479 0.0352723 -0.0107643 0.0120972 -0.0352113 0.00904495 -0.034794 -0.00920718 0.0561989 -0.015514 0.0109008 -0.00820121 0.00910482 0.00759988 0.0469276 0.012375,2
-0.103443 -0.00454212 -0.0112557 0.000320699 -0.0990248 0.00453293 0.0986038 0.0162187 0.00561512 -0.107238 -0.00512864 -0.00100092 -0.10006 0.110642 -0.104688 -0.0039181 0.00601035 -0.100529 0.00193828 -0.00508844 -0.106127 0.102282 0.00455929 0.00505179 0.0993864 -0.106265 0.0085911 -0.00510236 0.00472737 0.118862 -0.00346404 0.00490219 -0.0298583 -0.0992394 0.101292 0.10699 -0.00498546 -0.00444435 -0.106959 -0.00485547 -0.0995534 0.000278294 0.102779 0.00255274 0.00487378 0.014405 -0.00358509 -0.0301299 0.12397 -0.00577086,2
0.156549 0.0335637 0.0322426 -0.014047 0.158353 -0.0320182 -0.159045 -0.0349993 0.0117946 0.119166 -0.00398569 0.0143752 0.159178 -0.149584 0.155572 0.0169514 0.00615793 0.157021 -0.0173581 0.0182087 0.154002 -0.155758 0.010481 0.0110594 -0.157948 0.116817 -0.0318364 -0.00684165 0.0107167 -0.139295 -0.0119706 0.0109075 0.0366082 0.158653 -0.157762 -0.153154 -0.0109739 0.0207278 0.151298 0.0178158 0.157926 -0.0138553 -0.116822 -0.0225127 0.0108694 -0.0346159 0.0167306 0.0378127 -0.127879 0.0223324,1
-0.01289 -0.00132241 -0.00028362 0.00172603 -0.0151193 0.000847688 0.0151193 -0.000889673 -0.00242162 -0.00842289 -0.00495107 -0.00179218 -0.0151193 0.0154155 -0.0121036 -0.00173095 0.0025903 -0.0134453 0.00211783 -0.00173178 -0.0150791 0.0134452 -0.00436204 -0.00304707 0.0151193 -0.00842531 0.000415657 -0.00128571 -0.00384112 0.0133329 -0.000915582 -0.0035471 0.00162599 -0.0151193 0.0135079 0.016792 0.00384631 -0.00181896 -0.0151193 -0.00172912 -0.0151193 0.00172591 0.00838 0.00173896 -0.00378917 -0.000650665 -0.00172652 0.00156316 0.0133994 -0.00186783,3
-0.0124595 -0.0010411 0.000149346 0.00129687 -0.0146898 0.000448177 0.0146898 -0.00131883 -0.00200497 -0.00799432 -0.00463346 -0.00136163 -0.0146898 0.0149844 -0.0116741 -0.00130169 0.00235776 -0.013015 0.00168056 -0.0013025 -0.0146496 0.0130157 -0.00422207 -0.00276274 0.0146898 -0.00799674 -1.80782e-05 -0.00116549 -0.00362501 0.0129043 -0.000903625 -0.00331059 0.0020548 -0.0146898 0.0130777 0.0163621 0.00367261 -0.00138771 -0.0146898 -0.00129989 -0.0146898 0.00129675 0.00795142 0.00130949 -0.00358718 -0.00108041 -0.00129735 0.00199196 0.0129685 -0.00143505,3
0.0131058 0.00996097 0.0123759 -0.00304556 0.0130556 -0.00896364 -0.013081 -0.0115339 0.00947476 0.0145695 -0.00685537 0.00331052 0.0136815 -0.0133504 0.0125369 0.00306052 0.0116519 0.0130557 -0.0049712 0.00308436 0.0125355 -0.012537 0.00117372 0.00215888 -0.0130539 0.0073648 -0.0129772 -0.0108462 0.00156995 -0.0410745 -0.00332951 0.00182824 -0.00248459 0.0131239 -0.0133077 -0.0204971 -0.0017337 0.00424989 0.0125367 0.003065 0.0130586 -0.00304306 -0.00737346 -0.00385802 0.00168875 -0.0126676 0.00304403 -0.00136967 -0.0280205 0.00484358,4
0.0545972 0.0047656 0.00477066 0.00549895 0.0590695 -0.00239281 -0.0598545 -0.00546032 -0.000119475 0.0332709 -0.0069078 -0.00529083 0.0605967 -0.0438837 0.0543407 -0.00548744 0.0095496 0.0575179 0.00394619 -0.00546768 0.0529641 -0.0567586 -0.00524232 -0.00522309 -0.0586249 0.0305174 -0.00466042 -0.00752496 -0.00537876 -0.0369637 -0.00693477 -0.00527143 0.00300727 0.0594959 -0.0567768 -0.0464417 0.00501574 -0.00450343 0.0522098 -0.00548333 0.0586152 0.00550102 -0.0305367 0.00482134 -0.00520574 -0.00583604 -0.00550033 0.00396201 -0.0292336 -0.00398739,1
-0.0717591 -0.00289012 -0.00512228 0.00757584 -0.0716922 0.00404044 0.0713481 0.00932373 -0.00148626 -0.0236035 -0.0103466 -0.00733833 -0.0696658 0.0695728 -0.0713033 -0.00756259 0.00863299 -0.0717926 0.00589144 -0.00754046 -0.0713036 0.0713033 -0.00265493 -0.00253417 0.0717925 -0.0277696 0.00429495 -0.0064976 -0.00273465 0.0391153 -0.00412784 -0.0026005 -0.0217045 -0.0711503 0.0713897 0.0591089 0.00235473 -0.00649459 -0.0713479 -0.00755813 -0.0716406 0.00757816 0.0187506 0.00682473 -0.00254855 0.00749203 -0.00757734 -0.0213435 0.0403052 -0.00605522,4
-0.0168279 -0.00470283 -0.00411701 0.00566532 -0.0190575 0.00442957 0.0190575 0.00304971 -0.00604433 -0.0123634 -0.00467289 -0.00570104 -0.0190575 0.0193096 -0.0160422 -0.00566797 0.001777 -0.0173832 0.00587003 -0.00566842 -0.0190173 0.0173837 -0.00693407 -0.0063702 0.0190575 -0.0123658 0.00421932 -0.000422695 -0.00675367 0.0172729 -0.000727512 -0.00661543 -0.00230985 -0.0190575 0.0174459 0.020731 0.00672968 -0.00571188 -0.0190575 -0.00566698 -0.0190575 0.00566525 0.0123205 0.00567154 -0.00672007 0.00327571 -0.00566558 -0.00237268 0.0172874 -0.00572533,3
-0.0340589 -0.00496003 0.000841016 0.00342691 -0.0326358 0.00719536 0.0322431 0.00222226 0.00266722 -0.0235232 -0.0050158 -0.00318138 -0.0331212 0.0363713 -0.0338308 -0.00341285 0.0130239 -0.0337173 0.00168535 -0.00339158 -0.0350464 0.0337046 -0.00636485 -0.00739148 0.0329985 -0.0235229 -0.00128045 -0.0115868 -0.00697581 0.0283347 -9.90147e-05 -0.00706319 -0.0180136 -0.0325983 0.0330488 0.034814 0.00647522 -0.00236229 -0.0371321 -0.00340917 -0.0329387 0.00342916 0.0234508 0.00270787 -0.00678003 0.000851665 -0.00342819 -0.017194 0.029841 -0.00189439,4
